Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger,Extra Section: Do you have Angra?,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","With respect to the past question, are you or did you save for a banner/servant, not wasting SQ?","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?"
22/12/2018 2:16:53,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Nero Claudius [Bride]",Gilgamesh,"Scathach, Enkidu",,"Tamamo-no-mae, Merlin",Jack the Ripper,"Sakata Kintoki, Vlad III, Minamoto no Raikō",,Edmond Dantes,Yes,Between 12 and 15 months,15,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:16:56,Paid Gacha Only,,,,,,,,,,,,,,,,,,,Francis Drake,,,,,,No,Between 6 and 12 months,10,Yes,Prefer not to say,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:17:10,F2P,"Artoria Pendragon, Altera","Artoria Pendragon [Archer], Ishtar","Scathach, Brynhildr, Artoria Pendragon [Lancer], Enkidu","Francis Drake, Queen Medb, Quetzalcoatl","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin","MHX, Shuten Douji","Cu Chulainn [Alter], Florence Nightingale",Amakusa Shirou,"Jeanne D'arc [Alter], Edmond Dantes",No,Between 3 and 6 months,3,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:19:05,F2P,Mordred,Arjuna,,,,,,,,Yes,Between 6 and 12 months,2,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:21:01,501 USD and onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred","Gilgamesh, Orion, Nikola Tesla, Artoria Pendragon [Archer]",Enkidu,"Francis Drake, Queen Medb, Ozymandias","Zhuge Liang [El-Melloi II], Merlin",Jack the Ripper,Florence Nightingale,Jeanne D'arc,Jeanne D'arc [Alter],No,More than 15 months,15,Yes,Other,,,,,,,No
22/12/2018 2:21:49,F2P,,,,,,,Florence Nightingale,,,Yes,Between 6 and 12 months,1,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:22:12,F2P,,Ishtar,,,,Cleopatra,,,Jeanne D'arc [Alter],No,Between 12 and 15 months,7,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:22:21,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,Nikola Tesla,Tamamo no Mae [Lancer],Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Merlin",,,Amakusa Shirou,,No,More than 15 months,9,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:22:52,301USD and onwards but less than 501 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,,Brynhildr,Ozymandias,"Zhuge Liang [El-Melloi II], Merlin","MHX, Shuten Douji",Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,11,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:23:57,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,"Gilgamesh, Orion, Ishtar","Scathach, Karna, Tamamo no Mae [Lancer]",Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Merlin","Jack the Ripper, Shuten Douji",Vlad III,,Jeanne D'arc [Alter],No,Between 12 and 15 months,21,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:24:14,F2P,,,Tamamo no Mae [Lancer],"Ozymandias, Quetzalcoatl",Tamamo-no-mae,,Minamoto no Raikō,,,No,More than 15 months,5,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:24:23,F2P,"Artoria Pendragon, Altera","Orion, Artoria Pendragon [Archer]",Karna,Ozymandias,Merlin,Jack the Ripper,,,,Yes,More than 15 months,9,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:25:52,501 USD and onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Nero Claudius [Bride]","Gilgamesh, Artoria Pendragon [Archer], Ishtar","Scathach, Karna, Tamamo no Mae [Lancer]","Francis Drake, Queen Medb, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Merlin","Jack the Ripper, MHX","Vlad III, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],No,More than 15 months,29,Yes,Male,,,Between 21 and 40,,,,No
22/12/2018 2:26:24,Paid Gacha Only,,,,,,,,,,,,,,,,Nero Claudius [Bride],,Karna,Francis Drake,"Tamamo-no-mae, Merlin",Jack the Ripper,"Cu Chulainn [Alter], Minamoto no Raikō",Jeanne D'arc,,No,More than 15 months,9,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:26:48,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Nero Claudius [Bride], Ryougi Shiki","Gilgamesh, Orion, Arjuna, Artoria Pendragon [Archer], Ishtar","Scathach, Karna, Brynhildr, Artoria Pendragon [Lancer], Tamamo no Mae [Lancer], Enkidu","Francis Drake, Queen Medb, Ozymandias, Quetzalcoatl","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci, Illyasviel von Einzbern, Merlin","Jack the Ripper, MHX, Shuten Douji","Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,52,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:27:15,F2P,Artoria Pendragon,Ishtar,,,,,,,Jeanne D'arc [Alter],No,Between 1 and 3 months,4,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:28:20,F2P,Artoria Pendragon,,,,,,,,,No,Between 3 and 6 months,1,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:28:35,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon [Archer],,"Francis Drake, Iskandar",Zhuge Liang [El-Melloi II],,Florence Nightingale,,,No,Between 12 and 15 months,5,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:29:11,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji, Mordred",Gilgamesh,"Scathach, Tamamo no Mae [Lancer]",,"Tamamo-no-mae, Xuanzang, Merlin",,"Vlad III, Cu Chulainn [Alter], Florence Nightingale",,Jeanne D'arc [Alter],No,Between 12 and 15 months,15,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:29:34,Paid Gacha Only,,,,,,,,,,,,,,,,Artoria Pendragon,,,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",,Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],Yes,More than 15 months,8,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:30:03,Paid Gacha Only,,,,,,,,,,,,,,,,Artoria Pendragon,Artoria Pendragon [Archer],Karna,,Merlin,Jack the Ripper,"Vlad III, Florence Nightingale",,Jeanne D'arc [Alter],Yes,More than 15 months,8,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:30:13,F2P,Mordred,,Artoria Pendragon [Lancer],Francis Drake,"Zhuge Liang [El-Melloi II], Merlin",Cleopatra,,,,Yes,Between 1 and 3 months,6,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:30:50,501 USD and onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]","Orion, Ishtar","Scathach, Artoria Pendragon [Lancer]",Quetzalcoatl,"Tamamo-no-mae, Leonardo Da Vinci, Illyasviel von Einzbern","MHX, Cleopatra",Minamoto no Raikō,Jeanne D'arc,,No,Between 6 and 12 months,16,Yes,Male,,,,,Between 11 and 20,,No
22/12/2018 2:31:57,F2P,Mordred,,Artoria Pendragon [Lancer],Francis Drake,"Zhuge Liang [El-Melloi II], Merlin",Cleopatra,,,,Yes,Between 1 and 3 months,6,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:32:19,F2P,"Altera, Okita Souji",Gilgamesh,"Karna, Brynhildr, Enkidu",Francis Drake,Xuanzang,Shuten Douji,Minamoto no Raikō,,,No,More than 15 months,10,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:32:32,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ishtar,Karna,Quetzalcoatl,"Tamamo-no-mae, Merlin",Shuten Douji,Minamoto no Raikō,,Jeanne D'arc [Alter],No,Between 6 and 12 months,9,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:34:17,F2P,,Orion,,,Merlin,,"Sakata Kintoki, Minamoto no Raikō",,Jeanne D'arc [Alter],No,More than 15 months,5,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:34:34,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,Nikola Tesla,,"Francis Drake, Iskandar","Zhuge Liang [El-Melloi II], Xuanzang","Jack the Ripper, MHX",Vlad III,"Jeanne D'arc, Amakusa Shirou",Edmond Dantes,Yes,More than 15 months,15,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:35:43,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Nero Claudius [Bride], Ryougi Shiki","Artoria Pendragon [Archer], Ishtar","Scathach, Karna",Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Merlin",Cleopatra,"Vlad III, Florence Nightingale, Minamoto no Raikō",,Jeanne D'arc [Alter],Yes,More than 15 months,24,Yes,Prefer not to say,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:36:59,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,Arjuna,"Karna, Artoria Pendragon [Lancer]",Ozymandias,Leonardo Da Vinci,"Jack the Ripper, MHX",,Jeanne D'arc,,Yes,Between 6 and 12 months,9,No,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:37:05,F2P,"Artoria Pendragon, Altera",Nikola Tesla,,,"Tamamo-no-mae, Xuanzang, Merlin",,,,Jeanne D'arc [Alter],Yes,More than 15 months,8,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:38:41,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Nero Claudius [Bride]",Artoria Pendragon [Archer],Enkidu,Ozymandias,"Tamamo-no-mae, Merlin",,Vlad III,,Jeanne D'arc [Alter],No,Between 6 and 12 months,12,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:39:14,F2P,,,Scathach,,Merlin,,Vlad III,Jeanne D'arc,Jeanne D'arc [Alter],Yes,Between 6 and 12 months,5,No,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:39:23,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Nero Claudius [Bride]","Gilgamesh, Orion, Arjuna, Ishtar","Scathach, Tamamo no Mae [Lancer]","Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Merlin","Jack the Ripper, Shuten Douji, Cleopatra","Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Minamoto no Raikō",,Jeanne D'arc [Alter],No,Between 6 and 12 months,29,Yes,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:40:29,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Artoria Pendragon [Archer],Scathach,Iskandar,"Tamamo-no-mae, Merlin",Shuten Douji,"Sakata Kintoki, Vlad III, Minamoto no Raikō",,,No,Between 6 and 12 months,13,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:41:13,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon [Archer],Karna,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Merlin",,Florence Nightingale,Jeanne D'arc,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,10,Yes,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:41:27,F2P,,,Enkidu,,Merlin,"Jack the Ripper, Shuten Douji",,,,No,Between 3 and 6 months,5,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:42:34,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nero Claudius [Bride],Artoria Pendragon [Archer],Tamamo no Mae [Lancer],Iskandar,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",MHX,Vlad III,Jeanne D'arc,Edmond Dantes,No,Between 12 and 15 months,10,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:42:58,F2P,Mordred,,Scathach,,,Cleopatra,Florence Nightingale,,,,Between 6 and 12 months,4,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:43:40,301USD and onwards but less than 501 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Orion,Scathach,"Francis Drake, Ozymandias, Quetzalcoatl","Leonardo Da Vinci, Illyasviel von Einzbern, Merlin",Jack the Ripper,"Sakata Kintoki, Florence Nightingale",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes",Yes,More than 15 months,19,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:43:50,Paid Gacha Only,,,,,,,,,,,,,,,,Nero Claudius [Bride],,"Scathach, Tamamo no Mae [Lancer]",Francis Drake,Merlin,,Florence Nightingale,,Jeanne D'arc [Alter],Yes,Between 12 and 15 months,7,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:44:01,F2P,"Altera, Mordred, Nero Claudius [Bride]","Orion, Artoria Pendragon [Archer]",,Ozymandias,"Tamamo-no-mae, Merlin",,"Sakata Kintoki, Vlad III",,,Yes,More than 15 months,10,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:44:05,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]","Orion, Artoria Pendragon [Archer]","Scathach, Karna, Tamamo no Mae [Lancer]",Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Illyasviel von Einzbern, Merlin","Jack the Ripper, Shuten Douji","Sakata Kintoki, Vlad III, Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],No,More than 15 months,28,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:44:22,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Orion, Artoria Pendragon [Archer]",Artoria Pendragon [Lancer],Ozymandias,"Zhuge Liang [El-Melloi II], Leonardo Da Vinci",,Minamoto no Raikō,,,No,Between 6 and 12 months,7,No,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:45:20,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Ishtar,Scathach,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,Florence Nightingale,,Jeanne D'arc [Alter],No,More than 15 months,11,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:50:34,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nero Claudius [Bride],"Artoria Pendragon [Archer], Ishtar",,,"Zhuge Liang [El-Melloi II], Merlin",,,,,Yes,Between 6 and 12 months,6,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:50:48,F2P,Artoria Pendragon,Orion,,,Zhuge Liang [El-Melloi II],MHX,,Jeanne D'arc,Edmond Dantes,Yes,More than 15 months,8,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:52:59,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,"Gilgamesh, Artoria Pendragon [Archer]",Karna,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",Jack the Ripper,"Vlad III, Cu Chulainn [Alter], Minamoto no Raikō",Amakusa Shirou,,Yes,More than 15 months,15,Yes,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:53:04,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nero Claudius [Bride],,,Francis Drake,,Cleopatra,,,,Yes,Between 1 and 3 months,3,Yes,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:53:50,F2P,Mordred,Arjuna,Tamamo no Mae [Lancer],,"Xuanzang, Merlin",,,,Jeanne D'arc [Alter],No,Between 6 and 12 months,,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:56:45,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Nero Claudius [Bride], Ryougi Shiki",Ishtar,"Brynhildr, Tamamo no Mae [Lancer]","Queen Medb, Iskandar, Quetzalcoatl","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Illyasviel von Einzbern, Merlin","Shuten Douji, Cleopatra","Cu Chulainn [Alter], Florence Nightingale",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes",No,Between 6 and 12 months,27,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:57:09,501 USD and onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred","Gilgamesh, Nikola Tesla, Artoria Pendragon [Archer]","Scathach, Brynhildr, Tamamo no Mae [Lancer]",Ozymandias,"Tamamo-no-mae, Xuanzang, Merlin","Jack the Ripper, Cleopatra","Vlad III, Florence Nightingale",,"Jeanne D'arc [Alter], Edmond Dantes",No,Between 12 and 15 months,24,No,Male,,Between 21 and 40,,,,,No
22/12/2018 2:57:17,More than 1USD but less than 101 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon [Archer],Artoria Pendragon [Lancer],Ozymandias,Merlin,,,,Jeanne D'arc [Alter],No,Between 6 and 12 months,14,Yes,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:59:11,Paid Gacha Only,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera","Gilgamesh, Artoria Pendragon [Archer]",,"Francis Drake, Queen Medb, Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Merlin",,"Cu Chulainn [Alter], Florence Nightingale",Jeanne D'arc,,Yes,More than 15 months,14,Yes,Prefer not to say,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2018 2:59:23,"101USD and onwards, but less than 301 Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gilgamesh, Orion, Artoria Pendragon [Archer]",Scathach,Iskandar,"Zhuge Liang [El-Melloi II], Illyasviel von Einzbern, Merlin",MHX,,Jeanne D'arc,Jeanne D'arc [Alter],No,Between 12 and 15 months,13,Yes,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
